"stock_code","stock_name","market","industry_code","industry_name","source_url","source_as_of","synced_at","close_price","change_val","change_pct","volume","quote_date"
"6564",安特羅,TPEX_EMERGING,"22",生技醫療業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"6565",物聯,TPEX_EMERGING,"36",數位雲端,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"6572",博錸,TPEX_EMERGING,"22",生技醫療業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"6580",台睿,TPEX_EMERGING,"22",生技醫療業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"6583",友松,TPEX_EMERGING,"32",文化創意業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"6586",醣基,TPEX_EMERGING,"22",生技醫療業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"6595",光禹國際,TPEX_EMERGING,"32",文化創意業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"6599",普達系統,TPEX_EMERGING,"25",電腦及週邊設備業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"6604",儒億,TPEX_EMERGING,"05",電機機械,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"6610",安成生技,TPEX_EMERGING,"22",生技醫療業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"6618",永虹先進,TPEX_EMERGING,"21",化學工業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
